Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Closed","Single Family Residence","290 Avila St","$3,430,000","Beach","3","3","0","3,424","$1,001","0","07/17/2014","$3,430,000","","0","94123","","$3,300,000","07/14/2014","$1,001"
"Closed","Single Family Residence","2652 Chestnut St","$7,025,000","Lyon","5","6","0","4,870","$1,442","2014","06/20/2014","$7,025,000","","0","94123","","$6,600,000","06/13/2014","$1,442"
"Canceled","Single Family Residence","2526 Francisco St","$3,885,000","Baker","5","4","1","3,945","$984","1927","","","","0","94123","0","$3,885,000","","$984"
"Closed","Single Family Residence","145 Magnolia St","$3,625,000","Buchanan Street","5","4","0","3,400","$1,066","2000","05/16/2014","$3,625,000","","0","94123","","$3,195,000","04/25/2014","$1,066"
"Closed","Single Family Residence","3211 Baker St","$2,435,000","Francisco","3","2","0","2,030","$1,199","1928","06/26/2014","$2,435,000","","0","94123","0","$1,995,000","06/24/2014","$1,199"
"Closed","Single Family Residence","196 Avila St","$3,680,000","Capra","4","4","0","3,231","$1,138","1935","06/06/2014","$3,680,000","","0","94123","","$3,800,000","06/04/2014","$1,138"
"Closed","Single Family Residence","3621 Broderick St","$3,700,000","Jefferson","4","4","1","3,122","$1,185","1927","05/09/2014","$3,700,000","","0","94123","0","$2,795,000","04/15/2014","$1,185"
"Closed","Single Family Residence","2530 Francisco St","$3,150,000","Baker","4","3","0","3,000","$1,050","1928","05/14/2014","$3,150,000","","0","94123","0","$2,895,000","05/07/2014","$1,050"
"Closed","Single Family Residence","230 Capra","$3,050,000","Scott","3","4","0","2,731","$1,116","0","04/08/2014","$3,050,000","","0","94123","0","$2,895,000","03/12/2014","$1,116"
"Closed","Single Family Residence","3430 Baker St","$4,500,000","Beach","5","4","0","2,830","$1,590","1928","03/05/2014","$4,500,000","","0","94123","","$3,995,000","03/04/2014","$1,590"
"Closed","Single Family Residence","1650 Bay St","$2,125,000","Buchanan","3","2","1","2,310","$919","1937","10/25/2013","$2,125,000","","0","94123","","$2,250,000","10/21/2013","$919"
"Closed","Single Family Residence","2451 Bay St","$3,250,000","Lyon","4","2","0","2,432","$1,336","1929","11/27/2013","$3,250,000","","0","94123","0","$2,375,000","11/20/2013","$1,336"
"Closed","Single Family Residence","35 Rico Way","$2,400,000","Retiro","3","3","0","2,245","$1,069","1926","09/12/2013","$2,400,000","","0","94123","","$2,200,000","08/23/2013","$1,069"
"Canceled","Single Family Residence","1650 Bay St","$2,250,000","Buchanan","3","2","1","2,310","$974","1937","","","","0","94123","","$2,250,000","","$974"
"Closed","Single Family Residence","134 Alhambra","$2,407,700","Mallorca Way","3","3","0","2,599","$926","0","08/13/2013","$2,407,700","","0","94177","","$2,395,000","07/22/2013","$926"
"Closed","Single Family Residence","2596 Chestnut","$1,872,500","Richardson","3","2","0","2,488","$752","1926","07/19/2013","$1,872,500","","0","94123","","$1,950,000","07/15/2013","$752"
"Closed","Single Family Residence","212 Avila St","$2,625,000","Capra Way","3","3","0","2,554","$1,027","0","05/15/2013","$2,625,000","","0","94123","","$2,149,000","05/01/2013","$1,027"
"Closed","Single Family Residence","265 Avila","$2,275,000","Beach","3","2","0","2,200","$1,034","0","06/20/2013","$2,275,000","","0","94123","","$2,395,000","06/11/2013","$1,034"
"Closed","Single Family Residence","63 Rico Way","$2,410,000","Avila","3","2","0","2,165","$1,113","1925","06/21/2013","$2,410,000","","0","94123","","$2,300,000","06/03/2013","$1,113"
"Closed","Single Family Residence","3321 Octavia St","$4,415,000","Francisco","4","3","1","3,945","$1,119","1924","06/25/2013","$4,415,000","","0","94123","","$4,150,000","06/19/2013","$1,119"
"Closed","Single Family Residence","55 Retiro Way","$2,750,000","Rico","5","3","0","2,593","$1,060","1927","05/01/2013","$2,750,000","","0","94123","","$2,995,000","04/12/2013","$1,060"
"Closed","Single Family Residence","224 Avila St","$2,950,000","Capra Way","4","4","0","3,025","$975","1925","04/17/2013","$2,950,000","","0","94123","","$2,700,000","04/10/2013","$975"
"Closed","Single Family Residence","1372 Francisco St","$1,800,000","Gough","3","2","0","2,172","$828","1922","12/28/2012","$1,800,000","","0","94123","","$1,800,000","12/21/2012","$828"
"Closed","Single Family Residence","1726 North Point St","$2,862,500","Webster","4","3","1","3,400","$841","1938","11/30/2012","$2,862,500","","0","94123","","$2,925,000","11/12/2012","$841"
"Closed","Single Family Residence","3124 Baker St","$1,715,000","Francisco","4","2","0","2,905","$590","1931","11/09/2012","$1,715,000","","0","94123","","$1,595,000","11/02/2012","$590"
